OBJECTID;IN_FID;NEAR_FID;NEAR_DIST;NEAR_RANK;FROM_X;FROM_Y;NEAR_X;NEAR_Y
;0;0;0,233616849438989;1;-485230,353831724150000;-1116074,887096377300000;-485230,573087483180000;-1116074,806450580900000
;1;1;0,182266385287678;1;-485229,957838753590000;-1116076,052321197200000;-485230,124989797770000;-1116076,124995564300000
;2;3;0,170680685147530;1;-485229,965022206540000;-1116076,184526620900000;-485230,124990695800000;-1116076,125012095600000
;3;3;0,250016356213105;1;-485229,972553032970000;-1116076,323181057100000;-485230,124990695800000;-1116076,125012095600000
;4;4;0,225578968425741;1;-485229,956723715350000;-1116078,961530561100000;-485230,106962865570000;-1116079,129798409300000
;5;5;0,250063170252202;1;-485229,692032528580000;-1116079,790914135300000;-485229,924985781430000;-1116079,700005548800000
;6;6;0,647876944792223;1;-485229,341072829850000;-1116081,478582638800000;-485229,421432074740000;-1116082,121456597900000
;7;7;0,198735745200603;1;-485229,220402001520000;-1116082,151319091700000;-485229,401324361850000;-1116082,233556528100000
;8;8;0,306780029861535;1;-485229,098226611910000;-1116082,392851952900000;-485229,380965939780000;-1116082,273803814800000
;9;9;0,255514402449565;1;-485228,945047979300000;-1116083,073278129800000;-485229,176728282360000;-1116083,181036410400000
;10;10;0,285248989975812;1;-485228,383927598250000;-1116083,714278707500000;-485228,664391212220000;-1116083,766308963300000
;11;11;0,253688914820507;1;-485228,321017998150000;-1116083,837119110400000;-485228,437497774720000;-1116084,062486648300000
;12;11;0,217669072195377;1;-485228,288456008130000;-1116083,903847508100000;-485228,437497774720000;-1116084,062486648300000
;13;12;0,197393295089643;1;-485227,960523409710000;-1116084,723682942300000;-485228,141442137650000;-1116084,802629296400000
;14;13;0,369720259675704;1;-485227,339928358390000;-1116085,320124674400000;-485227,698156866010000;-1116085,228662076900000
;15;14;0,356420704661258;1;-485227,160155691150000;-1116085,585934146800000;-485227,218750894010000;-1116085,937505364200000
;16;14;0,440121485296219;1;-485226,779623755780000;-1116085,967073561400000;-485227,218750894010000;-1116085,937505364200000
;17;16;0,212701988363466;1;-485225,975488335240000;-1116086,979157628500000;-485226,018380312480000;-1116087,187490089100000
;18;17;0,185623947898243;1;-485225,858993530160000;-1116087,080993652100000;-485225,991493530160000;-1116087,210993652200000
;19;18;0,294689853681908;1;-485225,648605085680000;-1116087,268896045200000;-485225,942936272130000;-1116087,254361171700000
;20;19;0,227986904026522;1;-485224,628857951730000;-1116088,597929447700000;-485224,783496932360000;-1116088,765455010100000
;21;20;0,231531587230815;1;-485223,822602304220000;-1116089,034097564400000;-485223,866794659350000;-1116089,261372533600000
;22;21;0,181574328568661;1;-485223,595095027120000;-1116089,300005449400000;-485223,726792029860000;-1116089,425005994500000
;23;22;0,172006896594217;1;-485222,519124069080000;-1116089,789183310700000;-485222,556437603900000;-1116089,957094217400000
;24;23;0,383228812398453;1;-485221,834829699890000;-1116090,232141689400000;-485222,214295639950000;-1116090,178570027200000
;25;24;0,979787568847087;1;-485222,702446012820000;-1116092,081528230300000;-485222,648097177150000;-1116091,103249188300000
;26;25;0,621762311986133;1;-485223,350338062040000;-1116091,111853994000000;-485222,972038258800000;-1116090,618419467900000
;27;26;0,540208829377765;1;-485223,992898170660000;-1116091,028420323000000;-485223,971590731760000;-1116090,488631871500000
;28;27;0,411274630699435;1;-485224,526954679630000;-1116090,517147623200000;-485224,300236551380000;-1116090,174006672300000
;29;28;0,485065910767443;1;-485225,045918903600000;-1116090,163278890500000;-485225,026786465020000;-1116089,678590446700000
;30;29;0,442640259261997;1;-485225,692152700910000;-1116090,444151354300000;-485225,931513781310000;-1116090,071811895800000
;31;30;0,201548407435049;1;-485226,195444942630000;-1116090,067796089900000;-485226,206038091740000;-1116089,866526256800000
;32;31;0,150928844832649;1;-485226,414381846440000;-1116089,893295103700000;-485226,325458773300000;-1116089,771343460500000
;33;32;0,148231199861083;1;-485226,528125536570000;-1116089,728125179000000;-485226,387501073010000;-1116089,681250357800000
;34;33;0,400686386039309;1;-485227,019129763070000;-1116089,255593955500000;-485226,655322798640000;-1116089,423504862200000
;35;34;0,501278734325218;1;-485226,619632310820000;-1116087,530182052900000;-485226,167047532740000;-1116087,314665491700000
;36;35;0,339369516078602;1;-485227,804572990750000;-1116087,232387707100000;-485227,615310149560000;-1116086,950694176100000
;37;36;0,482439070110572;1;-485228,684949356950000;-1116087,352025722600000;-485228,312460119890000;-1116087,045432792700000
;38;37;0,489437079404768;1;-485228,741311460330000;-1116087,298603899800000;-485228,669353558620000;-1116086,814485407000000
;39;38;0,391558079430002;1;-485228,893718528790000;-1116087,175011444100000;-485229,006266210930000;-1116086,799977114000000
;40;39;0,281352046469449;1;-485229,731250000010000;-1116086,425000000300000;-485229,739062321200000;-1116086,143756437300000
;41;40;0,328822310667380;1;-485230,455874433740000;-1116085,397062783100000;-485230,161766818030000;-1116085,544116590900000
;42;41;0,401942446609578;1;-485230,761161444130000;-1116084,848188011200000;-485230,772322207050000;-1116084,446400545300000
;43;42;0,150612307183753;1;-485230,992936601800000;-1116084,294349281400000;-485230,875328148720000;-1116084,200262519100000
;44;43;0,367636029297776;1;-485231,163734436270000;-1116083,585021972400000;-485230,951234436240000;-1116083,885021972500000
;45;44;0,395280686501609;1;-485230,643734741720000;-1116083,025005086100000;-485230,268738556420000;-1116083,150003814600000
;46;46;0,359459115223234;1;-485230,093719656520000;-1116082,352267998500000;-485229,807631472710000;-1116082,134634346200000
;47;47;0,777879908060082;1;-485231,658740757790000;-1116081,557665218400000;-485231,375026009570000;-1116080,833370324700000
;48;47;0,740874866338823;1;-485231,801160008760000;-1116081,439427568100000;-485231,375026009570000;-1116080,833370324700000
;49;48;0,346751474737608;1;-485231,502453530610000;-1116079,811693716300000;-485231,169663169360000;-1116079,714291659400000
;50;49;0,444953642121550;1;-485231,687521674670000;-1116078,818169995700000;-485231,296898842090000;-1116079,031236995200000
;51;50;0,305051865448804;1;-485232,527505874870000;-1116076,575004577900000;-485232,286880874890000;-1116076,387504577900000
;52;51;0,294034201097480;1;-485232,800428323040000;-1116075,660068933600000;-485232,506529000350000;-1116075,651163904700000
;53;51;0,295068483739195;1;-485232,801459698590000;-1116075,642147623000000;-485232,506529000350000;-1116075,651163904700000
;54;51;0,297078725231764;1;-485232,801619618080000;-1116075,616852152900000;-485232,506529000350000;-1116075,651163904700000
;55;52;0,227614889219813;1;-485232,843164298860000;-1116074,613210399200000;-485232,619797980650000;-1116074,569437968500000
;56;53;0,234021911572666;1;-485232,848963466180000;-1116074,437498013000000;-485232,623442387970000;-1116074,500000000000000
;57;53;0,338837242906540;1;-485232,839675175140000;-1116074,239128271100000;-485232,623442387970000;-1116074,500000000000000
;58;54;0,305426942944139;1;-485232,609726806000000;-1116073,662798743700000;-485232,359000239750000;-1116073,837217224500000
;59;55;0,310699659845456;1;-485230,218396367620000;-1116073,598271695200000;-485230,465868077070000;-1116073,786133430700000
;60;56;0,225642997114605;1;-485230,325249980610000;-1116074,567038761000000;-485230,550460322530000;-1116074,553072228100000
;61;0;0,233616849438989;1;-485230,353831724150000;-1116074,887096377300000;-485230,573087483180000;-1116074,806450580900000
