OBJECTID;IN_FID;NEAR_FID;NEAR_DIST;NEAR_RANK;FROM_X;FROM_Y;NEAR_X;NEAR_Y
;0;0;0,233616849384359;1;-485230,353831724150000;-1116074,887096377300000;-485230,134575965170000;-1116074,967742173700000
;1;1;0,182266385287678;1;-485229,957838753590000;-1116076,052321197200000;-485229,790687709410000;-1116075,979646830100000
;2;2;0,170683205347350;1;-485229,965022206540000;-1116076,184526620900000;-485229,805054176890000;-1116076,244049608700000
;3;2;0,185250244039868;1;-485229,972553032970000;-1116076,323181057100000;-485229,805054176890000;-1116076,244049608700000
;4;4;0,225578968425741;1;-485229,956723715350000;-1116078,961530561100000;-485229,806484565140000;-1116078,793262712900000
;5;5;0,250063170306427;1;-485229,692032528580000;-1116079,790914135300000;-485229,459079275660000;-1116079,881822721800000
;6;6;0,647876944792223;1;-485229,341072829850000;-1116081,478582638800000;-485229,260713584950000;-1116080,835708679600000
;7;7;0,198735745243958;1;-485229,220402001520000;-1116082,151319091700000;-485229,039479641240000;-1116082,069081655000000
;8;8;0,306780029824829;1;-485229,098226611910000;-1116082,392851952900000;-485228,815487283980000;-1116082,511900090800000
;9;9;0,255514402351373;1;-485228,945047979300000;-1116083,073278129800000;-485228,713367676250000;-1116082,965519849400000
;10;11;0,238065569090786;1;-485228,383927598250000;-1116083,714278707500000;-485228,150564398500000;-1116083,761361955000000
;11;11;0,186530362765828;1;-485228,321017998150000;-1116083,837119110400000;-485228,150564398500000;-1116083,761361955000000
;12;11;0,198283203693883;1;-485228,288456008130000;-1116083,903847508100000;-485228,150564398500000;-1116083,761361955000000
;13;13;0,197393294943174;1;-485227,960523409710000;-1116084,723682942300000;-485227,779604681830000;-1116084,644736588500000
;14;14;0,235176333680294;1;-485227,339928358390000;-1116085,320124674400000;-485227,106480644200000;-1116085,291662898800000
;15;15;0,248178722578662;1;-485227,160155691150000;-1116085,585934146800000;-485227,051200477810000;-1116085,362951098500000
;16;15;0,662357808250705;1;-485226,779623755780000;-1116085,967073561400000;-485227,051200477810000;-1116085,362951098500000
;17;16;0,212701988579776;1;-485225,975488335240000;-1116086,979157628500000;-485225,932596358060000;-1116086,770825167700000
;18;17;0,185623947735182;1;-485225,858993530160000;-1116087,080993652100000;-485225,726493530150000;-1116086,950993652200000
;19;18;0,294689853681908;1;-485225,648605085680000;-1116087,268896045200000;-485225,354273899230000;-1116087,283430918600000
;20;19;0,227986904066003;1;-485224,628857951730000;-1116088,597929447700000;-485224,474218971040000;-1116088,430403885200000
;21;20;0,231531587002265;1;-485223,822602304220000;-1116089,034097564400000;-485223,778409949100000;-1116088,806822595400000
;22;21;0,181574328568661;1;-485223,595095027120000;-1116089,300005449400000;-485223,463398024380000;-1116089,175004904400000
;23;22;0,172006896366931;1;-485222,519124069080000;-1116089,789183310700000;-485222,481810534260000;-1116089,621272404200000
